YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Illinois State University,Normal,Illinois,United States,Public,3882,5541,6093,18393,0.4162,0.5838,0.040099594,0.874197353,0.020311886,0.0751,0.184510549,0.117939982,0.165509108,0.229720875,0.302319486,0.010128661,0.383109773,0.606761566,0.559
2010,Lewis University,Romeoville,Illinois,United States,Private,12863,6298,5786,3317,0.4242,0.5758,0.120577617,0.680144404,0.024548737,0.3566,0.259205776,0.124187726,0.160288809,0.193501805,0.262815885,0.028974158,0.427564605,0.543461237,0.4622
2010,McKendree University,Lebanon,Illinois,United States,Private,7186,4488,5310,2060,0.383,0.617,0.227934045,0.567410281,0.058195926,0.2583,0.269641125,0.174587779,0.209505335,0.196896217,0.149369544,0.030526316,0.449473684,0.52,0.5426
2010,Northern Illinois University,Dekalb,Illinois,United States,Public,3950,5481,6655,17445,0.4683,0.5317,0.049548943,0.813787532,0.021004443,0.1083,0.266729501,0.143126431,0.167631614,0.191598223,0.230914232,0.03084085,0.395112016,0.574047134,0.4924
2010,Western Illinois University,Macomb,Illinois,United States,Public,3230,4158,6215,10752,0.4937,0.5063,0.066271019,0.816221563,0.038971316,0.135,0.244510386,0.138081108,0.180019782,0.218001978,0.219386746,0.014231896,0.413352867,0.572415237,0.4909
2010,Bethel University,Mishawaka,Indiana,United States,Private,7988,5498,3754,1541,0.3582,0.6418,0.224732461,0.634958383,0.016646849,0.2674,0.242568371,0.12960761,0.233055886,0.24019025,0.154577884,0.024081115,0.415716096,0.560202788,0.5435
2010,Buena Vista University,Storm Lake,Iowa,United States,Private,6927,4998,5547,2605,0.3624,0.6376,0.231292517,0.597667639,0.023809524,0.086,0.279397473,0.190476191,0.243926142,0.199708455,0.08649174,0.019308943,0.409552846,0.571138211,0.6051
2010,Iowa State University,Ames,Iowa,United States,Public,4860,6484,7920,4654,0.5473,0.4527,0.03711743,0.898306924,0.01096158,0.0062,0.170935533,0.130779249,0.208052963,0.251356631,0.238875624,0.006064009,0.285906794,0.708029197,0.6371
2010,Kansas State University,Manhattan,Kansas,United States,Public,3078,6207,6570,18612,0.5255,0.4745,0.070896449,0.841072759,0.028433077,0.1365,0.220759871,0.132604917,0.199404023,0.221629004,0.225602185,0.008986715,0.325084658,0.665928627,0.5245
2010,MidAmerica Nazarene University,Olathe,Kansas,United States,Private,11284,5691,4480,1290,0.4674,0.5326,0.231277533,0.606828194,0.044052863,0.1054,0.18061674,0.158590308,0.234581498,0.224669604,0.20154185,0.025492468,0.3603708,0.614136732,0.4878
2010,Pittsburg State University,Pittsburg,Kansas,United States,Public,2551,4077,6060,5363,0.5154,0.4846,0.124557957,0.739489195,0.021611002,0.0964,0.317878193,0.152062868,0.210609037,0.18388998,0.135559921,0.014510779,0.402985075,0.582504146,0.465
2010,Murray State University,Murray,Kentucky,United States,Public,3754,5172,5661,7437,0.4205,0.5795,0.151108126,0.701141706,0.033243788,0.1229,0.378106112,0.164204164,0.180322364,0.164204164,0.113163197,0.032792793,0.449369369,0.517837838,0.448
